Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
45,1448,29,3,1,2,1,55,3,3,4,2,9380,14720,4,1,1,18,3,4,80,10,4,3,1,1,2,No
48,1221,7,3,1,3,1,96,3,2,1,3,5486,24795,4,1,0,11,3,1,80,15,3,2,2,2,2,No
34,1107,9,4,1,1,0,52,3,1,3,2,2742,3072,1,1,0,15,3,4,80,2,3,2,2,2,2,Yes
40,218,8,1,1,4,1,55,2,3,2,3,13757,25178,2,1,0,11,3,3,80,16,3,9,8,4,8,No
28,866,5,3,1,4,1,84,3,2,1,1,8463,23490,0,1,0,18,3,4,80,6,3,5,4,1,3,No
44,981,5,3,1,3,1,90,2,1,3,1,3162,7973,3,1,0,14,3,4,80,7,3,5,2,0,3,No
53,447,2,3,1,4,1,39,4,4,2,1,16598,19764,4,1,0,12,3,2,80,35,2,9,8,8,8,No
49,1495,5,4,1,1,1,96,3,2,3,2,6651,21534,2,1,0,14,3,2,80,20,2,3,2,1,2,No
40,896,2,3,1,3,1,68,3,1,3,3,2345,8045,2,1,0,14,3,3,80,8,4,3,1,1,2,No
44,1467,20,3,1,4,1,49,3,1,2,1,3420,21158,1,1,0,13,3,3,80,6,2,5,2,1,3,No
33,430,7,3,1,4,1,54,3,2,1,2,4373,17456,0,1,0,14,3,1,80,5,3,4,3,0,3,No
34,1326,3,3,1,4,1,81,1,2,1,1,4759,15891,3,1,0,18,3,4,80,15,3,13,9,3,12,No
30,1358,16,1,1,4,1,96,3,2,3,2,5301,2939,8,1,0,15,3,3,80,4,2,2,1,2,2,No
42,748,9,2,1,1,0,74,3,1,4,1,3673,16458,1,1,0,13,3,3,80,12,3,12,9,5,8,No
44,383,1,5,1,1,0,79,3,2,3,2,4768,9282,7,1,0,12,3,3,80,11,2,1,0,0,0,No
30,990,7,3,1,3,1,64,3,1,3,3,1274,7152,1,1,0,13,3,2,80,1,2,1,0,0,0,No
57,405,1,2,1,2,1,93,4,2,3,2,4900,2721,0,1,0,24,4,1,80,13,2,12,9,2,8,No
49,1490,7,4,1,3,1,35,3,3,2,3,10466,20948,3,1,0,14,3,2,80,29,3,8,7,0,7,No
34,829,15,3,1,2,1,71,3,4,1,3,17007,11929,7,1,0,14,3,4,80,16,2,14,8,6,9,No
28,1496,1,3,1,1,1,92,3,1,3,2,2909,15747,3,1,0,15,3,4,80,5,4,3,2,1,2,Yes
29,115,13,3,1,1,0,51,3,2,2,1,5765,17485,5,1,0,11,3,1,80,7,1,5,3,0,0,Yes
34,790,24,4,1,1,0,40,2,2,2,1,4599,7815,0,1,1,23,4,3,80,16,4,15,9,10,10,Yes
35,660,7,1,1,4,1,76,3,1,3,2,2404,16192,1,1,0,13,3,1,80,1,3,1,0,0,0,No
24,381,9,3,1,2,1,89,3,1,1,1,3172,16998,2,1,1,11,3,3,80,4,2,0,0,0,0,Yes
24,830,13,2,1,4,0,78,3,1,2,2,2033,7103,1,1,0,13,3,3,80,1,3,1,0,0,0,No
44,1193,2,1,1,2,1,86,3,3,3,1,10209,19719,5,1,1,18,3,2,80,16,2,2,2,2,2,No
29,1246,19,3,1,3,1,77,2,2,3,3,8620,23757,1,1,0,14,3,3,80,10,3,10,7,0,4,No
30,330,1,3,1,3,1,46,3,1,3,3,2064,15428,0,1,0,21,4,1,80,6,4,5,3,1,3,No
55,1229,4,4,1,4,1,30,3,2,3,2,4035,16143,0,1,1,16,3,2,80,4,3,3,2,1,2,No
