Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,1102,1,2,1,2,0,94,3,2,4,1,5993,19479,8,1,1,11,3,1,80,8,1,6,4,0,5,Yes
49,279,8,1,1,3,1,61,2,2,2,2,5130,24907,1,1,0,23,4,4,80,10,3,10,7,1,7,No
37,1373,2,2,1,4,1,92,2,1,3,1,2090,2396,6,1,1,15,3,2,80,7,3,0,0,0,0,Yes
33,1392,3,4,1,4,0,56,3,1,3,2,2909,23159,1,1,1,11,3,3,80,8,3,8,7,3,0,No
27,591,2,1,1,1,1,40,3,1,2,2,3468,16632,9,1,0,12,3,4,80,6,3,2,2,2,2,No
32,1005,2,2,1,4,1,79,3,1,4,1,3068,11864,0,1,0,13,3,3,80,8,2,7,7,3,6,No
59,1324,3,3,1,3,0,81,4,1,1,2,2670,9964,4,1,1,20,4,1,80,12,2,1,0,0,0,No
30,1358,24,1,1,4,1,67,3,1,3,3,2693,13335,1,1,0,22,4,2,80,1,3,1,0,0,0,No
38,216,23,3,1,4,1,44,2,3,3,1,9526,8787,0,1,0,21,4,2,80,10,3,9,7,1,8,No
36,1299,27,3,1,3,1,94,3,2,3,2,5237,16577,6,1,0,13,3,2,80,17,2,7,7,7,7,No
35,809,16,3,1,1,1,84,4,1,2,2,2426,16479,0,1,0,13,3,3,80,6,3,5,4,0,3,No
29,153,15,2,1,4,0,49,2,2,3,1,4193,12682,0,1,1,12,3,4,80,10,3,9,5,0,8,No
31,670,26,1,1,1,1,31,3,1,3,3,2911,15170,1,1,0,17,3,4,80,5,2,5,2,4,3,No
34,1346,19,2,1,2,1,93,3,1,4,3,2661,8758,0,1,0,11,3,3,80,3,3,2,2,1,2,No
28,103,24,3,1,3,1,50,2,1,3,1,2028,12947,5,1,1,14,3,2,80,6,3,4,2,0,3,Yes
29,1389,21,4,1,2,0,51,4,3,1,3,9980,10195,1,1,0,11,3,3,80,10,3,10,9,8,8,No
32,334,5,2,1,1,1,80,4,1,2,3,3298,15053,0,1,1,12,3,4,80,7,2,6,2,0,5,No
22,1123,16,2,1,4,1,96,4,1,4,3,2935,7324,1,1,1,13,3,2,80,1,2,1,0,0,0,No
53,1219,2,4,1,1,0,78,2,4,4,2,15427,22021,2,1,0,16,3,3,80,31,3,25,8,3,7,No
38,371,2,3,1,4,1,45,3,1,4,1,3944,4306,5,1,1,11,3,3,80,6,3,3,2,1,2,No
24,673,11,2,1,1,0,96,4,2,3,3,4011,8232,0,1,0,18,3,4,80,5,2,4,2,1,3,No
36,1218,9,4,1,3,1,82,2,1,1,1,3407,6986,7,1,0,23,4,2,80,10,3,5,3,0,3,Yes
